date;price;dix;gex
12/09/2012;1436560059;4,00705E+16;3,14343E+13
13/09/2012;145998999;3,9147E+15;4,50179E+13
14/09/2012;146577002;3,96848E+16;4,07919E+13
17/09/2012;1461189941;3,65391E+16;4,19467E+13
18/09/2012;1459319946;3,91424E+15;4,34851E+13
19/09/2012;1461050049;4,18006E+15;4,60632E+13
20/09/2012;146026001;3,99077E+16;4,24281E+13
21/09/2012;1460150024;3,97217E+16;8,99265E+13
24/09/2012;1456890015;3,93884E+15;2,63754E+13
25/09/2012;1441589966;3,83623E+14;1,82614E+13
26/09/2012;1433319946;3,6314E+16;1,3361E+13
27/09/2012;1447150024;3,79372E+16;2,57278E+13
28/09/2012;1440670044;4,16806E+16;2,17449E+13
01/10/2012;144448999;3,44328E+16;2,05808E+13
02/10/2012;144575;3,5035E+16;2,01985E+13
03/10/2012;145098999;3,80016E+15;2,7514E+13
04/10/2012;1461400024;3,78389E+16;2,87596E+13
05/10/2012;1460930054;3,427E+15;2,27624E+13
08/10/2012;1455880005;3,37064E+16;1,91416E+13
09/10/2012;144147998;3,37286E+15;1,52958E+13
10/10/2012;1432560059;3,81649E+16;1,58512E+13
11/10/2012;1432839966;3,65229E+15;1,16671E+13
12/10/2012;1428589966;3,66632E+15;1,36643E+13
15/10/2012;1440130005;4,11181E+16;1,79902E+13
16/10/2012;1454920044;4,16879E+15;2,79294E+13
17/10/2012;1460910034;4,17819E+16;2,88274E+13
18/10/2012;1457339966;3,99642E+15;2,16663E+13
19/10/2012;1433189941;4,03054E+16;-1,22049E+13
22/10/2012;1433819946;3,95741E+16;1,36509E+13
23/10/2012;1413109985;4,0411E+16;8,56532E+12
24/10/2012;140875;3,92616E+16;8,27957E+12
25/10/2012;1412969971;3,90722E+15;8,87953E+12
26/10/2012;1411939941;3,97319E+16;8,69165E+12
31/10/2012;1412160034;4,00017E+16;7,87647E+12
01/11/2012;1427589966;3,80986E+15;1,27833E+13
02/11/2012;1414199951;3,88379E+16;7,4567E+12
05/11/2012;141726001;3,92869E+15;9,37015E+12
06/11/2012;1428390015;3,89892E+15;1,28222E+13
07/11/2012;1394530029;3,91995E+15;-6,15734E+11
08/11/2012;137751001;3,56133E+15;-6,40366E+12
09/11/2012;1379849976;3,82498E+15;-1,8346E+12
12/11/2012;1380030029;4,14914E+16;-1,61567E+12
13/11/2012;1374530029;3,89635E+16;-3,26649E+12
14/11/2012;135548999;3,95428E+15;-8,96279E+12
15/11/2012;1353329956;3,66305E+15;-1,06466E+13
16/11/2012;1359880005;3,77838E+15;-9,02628E+12
19/11/2012;1386890015;4,43029E+16;8,33109E+12
20/11/2012;1387810059;4,31525E+16;9,36082E+12
21/11/2012;1391030029;3,9955E+15;1,07423E+13
23/11/2012;1409150024;4,09277E+15;1,28595E+13
26/11/2012;1406290039;4,2565E+15;1,48987E+13
27/11/2012;1398939941;4,15661E+16;1,19546E+13
28/11/2012;1409930054;3,99101E+15;1,45846E+13
29/11/2012;1415949951;4,19258E+15;1,96613E+13
30/11/2012;1416180054;4,05114E+15;1,46204E+13
03/12/2012;1409459961;4,22903E+16;1,31925E+13
04/12/2012;1407050049;3,81616E+16;9,87939E+12
05/12/2012;1409280029;3,65734E+15;6,19549E+12
06/12/2012;1413939941;3,90734E+16;8,6302E+12
07/12/2012;1418069946;4,01575E+16;9,99761E+12
10/12/2012;1418550049;3,82851E+16;9,62074E+12
11/12/2012;1427839966;3,97593E+15;1,41074E+13
12/12/2012;142847998;3,98401E+15;1,37969E+13
13/12/2012;1419449951;3,87779E+16;8,98421E+12
14/12/2012;1413579956;3,66797E+16;7,57602E+12
17/12/2012;1430359985;3,65082E+16;1,34975E+13
18/12/2012;1446790039;3,996E+16;2,14341E+13
19/12/2012;1435810059;3,98091E+16;1,71168E+13
20/12/2012;1443689941;3,89809E+16;1,799E+13
21/12/2012;1430150024;3,99591E+16;8,67379E+12
24/12/2012;1426660034;3,75662E+14;8,74453E+12
26/12/2012;1419829956;3,66132E+16;5,89989E+12
27/12/2012;1418099976;3,82921E+15;6,48807E+12
28/12/2012;1402430054;3,7318E+16;3,13375E+12
31/12/2012;1426189941;3,67613E+16;1,03737E+13
02/01/2013;1462420044;4,08387E+14;2,27195E+13
03/01/2013;1459369995;4,11084E+16;2,11515E+13
04/01/2013;1466469971;4,00858E+15;1,92702E+13
07/01/2013;1461890015;4,2102E+15;1,82454E+13
08/01/2013;1457150024;4,26408E+16;1,68706E+13
09/01/2013;146102002;4,01299E+16;1,69244E+13
10/01/2013;1472119995;4,06522E+15;2,16522E+13
11/01/2013;1472050049;4,06955E+15;2,15159E+13
14/01/2013;1470680054;3,96407E+16;1,94803E+13
15/01/2013;1472339966;3,77454E+16;1,91541E+13
16/01/2013;1472630005;4,00469E+15;2,25267E+13
17/01/2013;1480939941;4,05456E+16;2,79781E+13
18/01/2013;148597998;4,20186E+16;6,62607E+13
22/01/2013;1492560059;4,04838E+15;1,40104E+13
23/01/2013;1494810059;3,99655E+15;1,66067E+13
24/01/2013;1494819946;3,70458E+13;1,21745E+13
25/01/2013;1502959961;3,87115E+12;1,41685E+13
